LHALF000000,What is the **dative singular** of *rosa> rosae* (rose)?,rosae
LHALF000001,What is the **accusative singular** of *rosa> rosae* (rose)?,rosam
LHALF000002,What is the **ablative singular** of *rosa> rosae* (rose)?,rosa
LHALF000003,What is the **nominative plural** of *rosa> rosae* (rose)?,rosae
LHALF000004,What is the **accusative plural** of *rosa> rosae* (rose)?,rosas
LHALF000005,What is the **ablative plural** of *rosa> rosae* (rose)?,rosis
LHALF000006,What is the **dative singular** of *puella> puellae* (girl)?,puellae
LHALF000007,What is the **accusative singular** of *puella> puellae* (girl)?,puellam
LHALF000008,What is the **ablative singular** of *puella> puellae* (girl)?,puella
LHALF000009,What is the **nominative plural** of *puella> puellae* (girl)?,puellae
LHALF000010,What is the **accusative plural** of *puella> puellae* (girl)?,puellas
LHALF000011,What is the **ablative plural** of *puella> puellae* (girl)?,puellis
LHALF000012,What is the **dative singular** of *poeta> poetae* (poet)?,poetae
LHALF000013,What is the **accusative singular** of *poeta> poetae* (poet)?,poetam
LHALF000014,What is the **ablative singular** of *poeta> poetae* (poet)?,poeta
LHALF000015,What is the **nominative plural** of *poeta> poetae* (poet)?,poetae
LHALF000016,What is the **accusative plural** of *poeta> poetae* (poet)?,poetas
LHALF000017,What is the **ablative plural** of *poeta> poetae* (poet)?,poetis
LHALF000018,What is the **dative singular** of *nauta> nautae* (sailor)?,nautae
LHALF000019,What is the **accusative singular** of *nauta> nautae* (sailor)?,nautam
LHALF000020,What is the **ablative singular** of *nauta> nautae* (sailor)?,nauta
LHALF000021,What is the **nominative plural** of *nauta> nautae* (sailor)?,nautae
LHALF000022,What is the **accusative plural** of *nauta> nautae* (sailor)?,nautas
LHALF000023,What is the **ablative plural** of *nauta> nautae* (sailor)?,nautis
LHALF000024,What is the **dative singular** of *pirata> piratae* (pirate)?,piratae
LHALF000025,What is the **accusative singular** of *pirata> piratae* (pirate)?,piratam
LHALF000026,What is the **ablative singular** of *pirata> piratae* (pirate)?,pirata
LHALF000027,What is the **nominative plural** of *pirata> piratae* (pirate)?,piratae
LHALF000028,What is the **accusative plural** of *pirata> piratae* (pirate)?,piratas
LHALF000029,What is the **ablative plural** of *pirata> piratae* (pirate)?,piratis
LHALF000030,What is the **dative singular** of *domina> dominae* (mistress)?,dominae
LHALF000031,What is the **accusative singular** of *domina> dominae* (mistress)?,dominam
LHALF000032,What is the **ablative singular** of *domina> dominae* (mistress)?,domina
LHALF000033,What is the **nominative plural** of *domina> dominae* (mistress)?,dominae
LHALF000034,What is the **accusative plural** of *domina> dominae* (mistress)?,dominas
LHALF000035,What is the **ablative plural** of *domina> dominae* (mistress)?,dominis
LHALF000036,What is the **dative singular** of *diligentia> diligentiae* (diligence)?,diligentiae
LHALF000037,What is the **accusative singular** of *diligentia> diligentiae* (diligence)?,diligentiam
LHALF000038,What is the **ablative singular** of *diligentia> diligentiae* (diligence)?,diligentia
LHALF000039,What is the **nominative plural** of *diligentia> diligentiae* (diligence)?,diligentiae
LHALF000040,What is the **accusative plural** of *diligentia> diligentiae* (diligence)?,diligentias
LHALF000041,What is the **ablative plural** of *diligentia> diligentiae* (diligence)?,diligentiis
LHALF000042,What is the **dative singular** of *iustitia> iustitiae* (justice)?,iustitiae
LHALF000043,What is the **accusative singular** of *iustitia> iustitiae* (justice)?,iustitiam
LHALF000044,What is the **ablative singular** of *iustitia> iustitiae* (justice)?,iustitia
LHALF000045,What is the **nominative plural** of *iustitia> iustitiae* (justice)?,iustitiae
LHALF000046,What is the **accusative plural** of *iustitia> iustitiae* (justice)?,iustitias
LHALF000047,What is the **ablative plural** of *iustitia> iustitiae* (justice)?,iustitiis
LHALF000048,What is the **dative singular** of *fama> famae* (fame)?,famae
LHALF000049,What is the **accusative singular** of *fama> famae* (fame)?,famam
LHALF000050,What is the **ablative singular** of *fama> famae* (fame)?,fama
LHALF000051,What is the **nominative plural** of *fama> famae* (fame)?,famae
LHALF000052,What is the **accusative plural** of *fama> famae* (fame)?,famas
LHALF000053,What is the **ablative plural** of *fama> famae* (fame)?,famis
LHALF000054,What is the **dative singular** of *fuga> fugae* (flight)?,fugae
LHALF000055,What is the **accusative singular** of *fuga> fugae* (flight)?,fugam
LHALF000056,What is the **ablative singular** of *fuga> fugae* (flight)?,fuga
LHALF000057,What is the **nominative plural** of *fuga> fugae* (flight)?,fugae
LHALF000058,What is the **accusative plural** of *fuga> fugae* (flight)?,fugas
LHALF000059,What is the **ablative plural** of *fuga> fugae* (flight)?,fugis
LHALF000060,What is the **dative singular** of *insula> insulae* (island)?,insulae
LHALF000061,What is the **accusative singular** of *insula> insulae* (island)?,insulam
LHALF000062,What is the **ablative singular** of *insula> insulae* (island)?,insula
LHALF000063,What is the **nominative plural** of *insula> insulae* (island)?,insulae
LHALF000064,What is the **accusative plural** of *insula> insulae* (island)?,insulas
LHALF000065,What is the **ablative plural** of *insula> insulae* (island)?,insulis
LHALF000066,What is the **dative singular** of *ira> irae* (anger)?,irae
LHALF000067,What is the **accusative singular** of *ira> irae* (anger)?,iram
LHALF000068,What is the **ablative singular** of *ira> irae* (anger)?,ira
LHALF000069,What is the **nominative plural** of *ira> irae* (anger)?,irae
LHALF000070,What is the **accusative plural** of *ira> irae* (anger)?,iras
LHALF000071,What is the **ablative plural** of *ira> irae* (anger)?,iris
LHALF000072,What is the **dative singular** of *miseria> miseriae* (misery)?,miseriae
LHALF000073,What is the **accusative singular** of *miseria> miseriae* (misery)?,miseriam
LHALF000074,What is the **ablative singular** of *miseria> miseriae* (misery)?,miseria
LHALF000075,What is the **nominative plural** of *miseria> miseriae* (misery)?,miseriae
LHALF000076,What is the **accusative plural** of *miseria> miseriae* (misery)?,miserias
LHALF000077,What is the **ablative plural** of *miseria> miseriae* (misery)?,miseriis
LHALF000078,What is the **dative singular** of *parsimonia> parsimoniae* (frugality)?,parsimoniae
LHALF000079,What is the **accusative singular** of *parsimonia> parsimoniae* (frugality)?,parsimoniam
LHALF000080,What is the **ablative singular** of *parsimonia> parsimoniae* (frugality)?,parsimonia
LHALF000081,What is the **nominative plural** of *parsimonia> parsimoniae* (frugality)?,parsimoniae
LHALF000082,What is the **accusative plural** of *parsimonia> parsimoniae* (frugality)?,parsimonias
LHALF000083,What is the **ablative plural** of *parsimonia> parsimoniae* (frugality)?,parsimoniis
LHALF000084,What is the **dative singular** of *provincia> provinciae* (province)?,provinciae
LHALF000085,What is the **accusative singular** of *provincia> provinciae* (province)?,provinciam
LHALF000086,What is the **ablative singular** of *provincia> provinciae* (province)?,provincia
LHALF000087,What is the **nominative plural** of *provincia> provinciae* (province)?,provinciae
LHALF000088,What is the **accusative plural** of *provincia> provinciae* (province)?,provincias
LHALF000089,What is the **ablative plural** of *provincia> provinciae* (province)?,provinciis
LHALF000090,What is the **dative singular** of *stultitia> stultitiae* (folly)?,stultitiae
LHALF000091,What is the **accusative singular** of *stultitia> stultitiae* (folly)?,stultitiam
LHALF000092,What is the **ablative singular** of *stultitia> stultitiae* (folly)?,stultitia
LHALF000093,What is the **nominative plural** of *stultitia> stultitiae* (folly)?,stultitiae
LHALF000094,What is the **accusative plural** of *stultitia> stultitiae* (folly)?,stultitias
LHALF000095,What is the **ablative plural** of *stultitia> stultitiae* (folly)?,stultitiis
LHALF000096,What is the **dative singular** of *victoria> victoriae* (victory)?,victoriae
LHALF000097,What is the **accusative singular** of *victoria> victoriae* (victory)?,victoriam
LHALF000098,What is the **ablative singular** of *victoria> victoriae* (victory)?,victoria
LHALF000099,What is the **nominative plural** of *victoria> victoriae* (victory)?,victoriae
LHALF000100,What is the **accusative plural** of *victoria> victoriae* (victory)?,victorias
LHALF000101,What is the **ablative plural** of *victoria> victoriae* (victory)?,victoriis
LHALF000102,What is the **dative singular** of *matrona> matronae* (wife> matron)?,matronae
LHALF000103,What is the **accusative singular** of *matrona> matronae* (wife> matron)?,matronam
LHALF000104,What is the **ablative singular** of *matrona> matronae* (wife> matron)?,matrona
LHALF000105,What is the **nominative plural** of *matrona> matronae* (wife> matron)?,matronae
LHALF000106,What is the **accusative plural** of *matrona> matronae* (wife> matron)?,matronas
LHALF000107,What is the **ablative plural** of *matrona> matronae* (wife> matron)?,matronis
LHALF000108,What is the **dative singular** of *toga> togae* (garment)?,togae
LHALF000109,What is the **accusative singular** of *toga> togae* (garment)?,togam
LHALF000110,What is the **ablative singular** of *toga> togae* (garment)?,toga
LHALF000111,What is the **nominative plural** of *toga> togae* (garment)?,togae
LHALF000112,What is the **accusative plural** of *toga> togae* (garment)?,togas
LHALF000113,What is the **ablative plural** of *toga> togae* (garment)?,togis
LHALF000114,What is the **dative singular** of *superbia> superbiae* (arrogance)?,superbiae
LHALF000115,What is the **accusative singular** of *superbia> superbiae* (arrogance)?,superbiam
LHALF000116,What is the **ablative singular** of *superbia> superbiae* (arrogance)?,superbia
LHALF000117,What is the **nominative plural** of *superbia> superbiae* (arrogance)?,superbiae
LHALF000118,What is the **accusative plural** of *superbia> superbiae* (arrogance)?,superbias
LHALF000119,What is the **ablative plural** of *superbia> superbiae* (arrogance)?,superbiis
LHALF000120,What is the **dative singular** of *filia> filiae* (daughter)?,filiae
LHALF000121,What is the **accusative singular** of *filia> filiae* (daughter)?,filiam
LHALF000122,What is the **ablative singular** of *filia> filiae* (daughter)?,filia
LHALF000123,What is the **nominative plural** of *filia> filiae* (daughter)?,filiae
LHALF000124,What is the **accusative plural** of *filia> filiae* (daughter)?,filias
LHALF000125,What is the **ablative plural** of *filia> filiae* (daughter)?,filiis
LHALF000126,What is the **dative singular** of *sagitta> sagittae* (arrow)?,sagittae
LHALF000127,What is the **accusative singular** of *sagitta> sagittae* (arrow)?,sagittam
LHALF000128,What is the **ablative singular** of *sagitta> sagittae* (arrow)?,sagitta
LHALF000129,What is the **nominative plural** of *sagitta> sagittae* (arrow)?,sagittae
LHALF000130,What is the **accusative plural** of *sagitta> sagittae* (arrow)?,sagittas
LHALF000131,What is the **ablative plural** of *sagitta> sagittae* (arrow)?,sagittis
LHALF000132,What is the **dative singular** of *scientia> scientiae* (knowledge)?,scientiae
LHALF000133,What is the **accusative singular** of *scientia> scientiae* (knowledge)?,scientiam
LHALF000134,What is the **ablative singular** of *scientia> scientiae* (knowledge)?,scientia
LHALF000135,What is the **nominative plural** of *scientia> scientiae* (knowledge)?,scientiae
LHALF000136,What is the **accusative plural** of *scientia> scientiae* (knowledge)?,scientias
LHALF000137,What is the **ablative plural** of *scientia> scientiae* (knowledge)?,scientiis
LHALF000138,What is the **dative singular** of *stella> stellae* (star)?,stellae
LHALF000139,What is the **accusative singular** of *stella> stellae* (star)?,stellam
LHALF000140,What is the **ablative singular** of *stella> stellae* (star)?,stella
LHALF000141,What is the **nominative plural** of *stella> stellae* (star)?,stellae
LHALF000142,What is the **accusative plural** of *stella> stellae* (star)?,stellas
LHALF000143,What is the **ablative plural** of *stella> stellae* (star)?,stellis
LHALF000144,What is the **dative singular** of *vigilia> vigiliae* (wakefulness)?,vigiliae
LHALF000145,What is the **accusative singular** of *vigilia> vigiliae* (wakefulness)?,vigiliam
LHALF000146,What is the **ablative singular** of *vigilia> vigiliae* (wakefulness)?,vigilia
LHALF000147,What is the **nominative plural** of *vigilia> vigiliae* (wakefulness)?,vigiliae
LHALF000148,What is the **accusative plural** of *vigilia> vigiliae* (wakefulness)?,vigilias
LHALF000149,What is the **ablative plural** of *vigilia> vigiliae* (wakefulness)?,vigiliis
LHALF000150,What is the **dative singular** of *vita> vitae* (life)?,vitae
LHALF000151,What is the **accusative singular** of *vita> vitae* (life)?,vitam
LHALF000152,What is the **ablative singular** of *vita> vitae* (life)?,vita
LHALF000153,What is the **nominative plural** of *vita> vitae* (life)?,vitae
LHALF000154,What is the **accusative plural** of *vita> vitae* (life)?,vitas
LHALF000155,What is the **ablative plural** of *vita> vitae* (life)?,vitis
LHALF000156,What is the **dative singular** of *littera> litterae* (letter)?,litterae
